rep,alpha,eps,method,interval_width,coverage
0,0.0125,0.25,oracle,1.1755951813701888,
0,0.0125,0.25,naive,4.995410948824748,1.0
0,0.0125,0.25,fission,4.99541094882958,1.0
0,0.0125,0.25,stability,8.815036000078067,1.0
0,0.025,0.25,oracle,3.0363617344132403,
0,0.025,0.25,naive,4.482805455209894,1.0
0,0.025,0.25,fission,4.500020351317762,1.0
0,0.025,0.25,stability,8.391122661459386,1.0
0,0.05,0.25,oracle,1.9721123720120948,
0,0.05,0.25,naive,3.919927969080108,1.0
0,0.05,0.25,fission,3.9214873257626994,1.0
0,0.05,0.25,stability,7.942012015311764,1.0
0,0.075,0.25,oracle,0.12903354505238976,
0,0.075,0.25,naive,3.560928683384051,1.0
0,0.075,0.25,fission,3.560928683384064,1.0
0,0.075,0.25,stability,7.665123788587263,1.0
0,0.1,0.25,oracle,0.9096151732807174,
0,0.1,0.25,naive,3.289707253902944,1.0
0,0.1,0.25,fission,3.2900039690046854,1.0
0,0.1,0.25,stability,7.4616994258432126,1.0
0,0.2,0.25,oracle,1.9843162188055252,
0,0.2,0.25,naive,2.5631031310892007,1.0
0,0.2,0.25,fission,2.5631197530638015,1.0
0,0.2,0.25,stability,6.944924919738268,1.0
0,0.3,0.25,oracle,3.935165202646152,
0,0.3,0.25,naive,2.0728667789875797,0.0
0,0.3,0.25,fission,2.0755962049394583,0.0
0,0.3,0.25,stability,6.622525464336059,1.0
0,0.4,0.25,oracle,0.6652352084204993,
0,0.4,0.25,naive,1.6832424671458286,1.0
0,0.4,0.25,fission,1.6832424671460917,0.0
0,0.4,0.25,stability,6.383312526783014,1.0
0,0.5,0.25,oracle,3.172784328173746,
0,0.5,0.25,naive,1.3489795003921632,0.0
0,0.5,0.25,fission,1.348988795223046,0.0
0,0.5,0.25,stability,6.191094146901953,1.0
0,0.6,0.25,oracle,2.4432535019543815,
0,0.6,0.25,naive,1.0488010254160813,0.0
0,0.6,0.25,fission,1.0498499363101343,1.0
0,0.6,0.25,stability,6.029318873429656,1.0
0,0.7,0.25,oracle,2.8140620758850377,
0,0.7,0.25,naive,0.7706409328151356,0.0
0,0.7,0.25,fission,0.771246096206115,0.0
0,0.7,0.25,stability,5.888971983549831,1.0
0,0.8,0.25,oracle,4.159758771923343,
0,0.8,0.25,naive,0.5066942062715993,0.0
0,0.8,0.25,fission,0.5132689255115506,0.0
0,0.8,0.25,stability,5.76457799244535,1.0
0,0.9,0.25,oracle,1.3577926669368883,
0,0.9,0.25,naive,0.25132269371014826,0.0
0,0.9,0.25,fission,0.2513226937101607,0.0
0,0.9,0.25,stability,5.652551489885042,1.0
1,0.0125,0.25,oracle,4.741211820377927,
1,0.0125,0.25,naive,4.995410948824748,1.0
1,0.0125,0.25,fission,5.261118888208024,1.0
1,0.0125,0.25,stability,8.815036000078067,1.0
1,0.025,0.25,oracle,4.741211820377927,
1,0.025,0.25,naive,4.482805455209894,0.0
1,0.025,0.25,fission,4.482811976148251,1.0
1,0.025,0.25,stability,8.391122661459386,1.0
1,0.05,0.25,oracle,1.1382434998492783,
1,0.05,0.25,naive,3.919927969080108,1.0
1,0.05,0.25,fission,3.9199279720365445,1.0
1,0.05,0.25,stability,7.942012015311764,1.0
1,0.075,0.25,oracle,2.102808689516459,
1,0.075,0.25,naive,3.560928683384051,1.0
1,0.075,0.25,fission,3.560928690815502,0.0
1,0.075,0.25,stability,7.665123788587263,1.0
1,0.1,0.25,oracle,1.767449959132197,
1,0.1,0.25,naive,3.2897072539029444,1.0
1,0.1,0.25,fission,3.2897072539031935,1.0
1,0.1,0.25,stability,7.4616994258432126,1.0
1,0.2,0.25,oracle,1.7926647864904053,
1,0.2,0.25,naive,2.5631031310892007,1.0
1,0.2,0.25,fission,2.563103131089211,1.0
1,0.2,0.25,stability,6.944924919738268,1.0
1,0.3,0.25,oracle,0.7539194414062165,
1,0.3,0.25,naive,2.0728667789875797,1.0
1,0.3,0.25,fission,2.0728667797777405,1.0
1,0.3,0.25,stability,6.622525464336059,1.0
1,0.4,0.25,oracle,2.335793788227557,
1,0.4,0.25,naive,1.6832424671458286,0.0
1,0.4,0.25,fission,1.6832523702132842,1.0
1,0.4,0.25,stability,6.383312526783014,1.0
1,0.5,0.25,oracle,1.3911645438522067,
1,0.5,0.25,naive,1.3489795003921632,0.0
1,0.5,0.25,fission,1.3491564414316184,1.0
1,0.5,0.25,stability,6.191094146901953,1.0
1,0.6,0.25,oracle,2.4458829628050105,
1,0.6,0.25,naive,1.0488010254160813,0.0
1,0.6,0.25,fission,1.048802214030995,1.0
1,0.6,0.25,stability,6.029318873429656,1.0
1,0.7,0.25,oracle,2.4458829628050105,
1,0.7,0.25,naive,0.7706409328151356,0.0
1,0.7,0.25,fission,0.7710644737892992,0.0
1,0.7,0.25,stability,5.888971983549831,1.0
1,0.8,0.25,oracle,4.741211820377927,
1,0.8,0.25,naive,0.5066942062715993,0.0
1,0.8,0.25,fission,0.7643599687048606,0.0
1,0.8,0.25,stability,5.76457799244535,1.0
1,0.9,0.25,oracle,3.808603989669568,
1,0.9,0.25,naive,0.2513226937101485,0.0
1,0.9,0.25,fission,0.2539437976844531,0.0
1,0.9,0.25,stability,5.652551489885042,1.0
2,0.0125,0.25,oracle,1.856418081285686,
2,0.0125,0.25,naive,4.995410948824748,1.0
2,0.0125,0.25,fission,4.996194377828038,1.0
2,0.0125,0.25,stability,8.815036000078067,1.0
2,0.025,0.25,oracle,3.095841349972016,
2,0.025,0.25,naive,4.482805455209894,1.0
2,0.025,0.25,fission,4.4828054716369214,1.0
2,0.025,0.25,stability,8.391122661459386,1.0
2,0.05,0.25,oracle,0.2839206995723007,
2,0.05,0.25,naive,3.919927969080108,1.0
2,0.05,0.25,fission,3.9199279690832323,1.0
2,0.05,0.25,stability,7.942012015311764,1.0
2,0.075,0.25,oracle,0.17648326371528472,
2,0.075,0.25,naive,3.560928683384051,1.0
2,0.075,0.25,fission,3.5729270577783048,1.0
2,0.075,0.25,stability,7.665123788587263,1.0
2,0.1,0.25,oracle,0.9617649328062583,
2,0.1,0.25,naive,3.2897072539029444,1.0
2,0.1,0.25,fission,3.2908432752514716,1.0
2,0.1,0.25,stability,7.4616994258432126,1.0
2,0.2,0.25,oracle,1.601774644125746,
2,0.2,0.25,naive,2.5631031310892007,1.0
2,0.2,0.25,fission,2.563371086311059,1.0
2,0.2,0.25,stability,6.944924919738268,1.0
2,0.3,0.25,oracle,3.713642962790542,
2,0.3,0.25,naive,2.0728667789875797,0.0
2,0.3,0.25,fission,2.096174322603723,0.0
2,0.3,0.25,stability,6.622525464336059,1.0
2,0.4,0.25,oracle,3.43036292267218,
2,0.4,0.25,naive,1.6832424671458286,0.0
2,0.4,0.25,fission,1.6832424671720814,0.0
2,0.4,0.25,stability,6.383312526783014,1.0
2,0.5,0.25,oracle,1.6832803891487582,
2,0.5,0.25,naive,1.3489795003921634,0.0
2,0.5,0.25,fission,1.3489820169394964,1.0
2,0.5,0.25,stability,6.191094146901953,1.0
2,0.6,0.25,oracle,0.6409190263368347,
2,0.6,0.25,naive,1.0488010254160813,1.0
2,0.6,0.25,fission,1.0488010254161009,1.0
