C,n,ratio
0.0,10,1.1282678615151152
0.0,100,1.2873388641924042
0.0,1000,1.3886598172639122
0.0,10000,1.4738277814175231
3.4744622755621744,10,1.2349877626024206
3.4744622755621744,100,1.34476407645408
3.4744622755621744,1000,1.4109212751788003
3.4744622755621744,10000,1.4854082022891864
6.948924551124349,10,1.4015489615519727
6.948924551124349,100,1.7290024992387123
6.948924551124349,1000,1.9675616430559764
6.948924551124349,10000,2.156502219564109
13.897849102248697,10,1.2867272594006607
13.897849102248697,100,1.7339320832594143
13.897849102248697,1000,2.0214334268631067
13.897849102248697,10000,2.274724442649088
20.846773653373045,10,1.003399125250327
20.846773653373045,100,1.0053660971499896
20.846773653373045,1000,1.3459140112684944
20.846773653373045,10000,2.091102702573925
